"Technology","Age","CustomerSince","SupportCallsLastYear","AverageBill","ChurnIndicator"
"4G",57,2015-11-08 23:27:16,2,30,0.002
"landline",9,2014-01-19 23:27:16,4,42,0.014
"4G",46,2012-06-04 22:27:16,9,37,0.18
"fiber",66,2013-11-28 23:27:16,0,41,0.013
"landline",77,2014-09-02 22:27:16,3,19,0.017
"4G",5,2010-11-07 23:27:16,1,65,0.03
"landline",40,2015-02-24 23:27:16,1,98,0.001
"fiber",16,2015-03-07 23:27:16,1,24,0.016
"phone",52,2012-12-07 23:27:16,2,64,0.018
"4G",30,2013-12-04 23:27:16,0,33,0.012
"4G",9,2015-07-02 22:27:16,10,14,0.067
"landline",36,2013-08-21 22:27:16,1,90,0.003
"4G",18,2013-01-17 23:27:16,0,65,0.008
"phone",50,2011-01-10 23:27:16,0,30,0.021
"fiber",53,2013-05-16 22:27:16,6,18,0.253
"phone",28,2011-04-25 22:27:16,0,72,0.008
"phone",1,2015-07-17 22:27:16,1,101,0.001
"phone",26,2010-07-03 22:27:16,0,33,0.021
"fiber",33,2015-05-20 22:27:16,4,88,0.008
"fiber",13,2014-09-22 22:27:16,1,52,0.012
"4G",17,2015-09-19 22:27:16,1,60,0.001
"landline",69,2014-03-05 23:27:16,0,65,0.002
"phone",79,2015-07-19 22:27:16,3,89,0.002
"4G",48,2015-02-09 23:27:16,1,56,0.006
"phone",69,2013-08-16 22:27:16,0,38,0.008
"phone",46,2011-05-05 22:27:16,1,54,0.022
"4G",52,2010-12-24 23:27:16,1,31,0.061
"landline",13,2011-08-16 22:27:16,7,49,0.045
"phone",1,2011-09-17 22:27:16,0,28,0.019
"4G",28,2011-11-12 23:27:16,9,27,0.287
"fiber",68,2012-12-09 23:27:16,1,66,0.023
"phone",55,2013-01-21 23:27:16,0,29,0.013
"4G",23,2011-08-12 22:27:16,0,73,0.011
"fiber",58,2013-07-18 22:27:16,0,11,0.055
"4G",46,2011-07-06 22:27:16,0,96,0.009
"4G",5,2015-06-17 22:27:16,0,99,0.001
"landline",3,2010-07-23 22:27:16,2,107,0.01
"fiber",51,2014-08-18 22:27:16,1,65,0.01
"phone",7,2015-11-01 23:27:16,0,99,0.0
"4G",32,2015-08-05 22:27:16,0,36,0.002
"4G",79,2011-11-17 23:27:16,0,57,0.014
"fiber",75,2010-09-07 22:27:16,0,24,0.055
"4G",65,2013-09-15 22:27:16,0,59,0.007
"landline",50,2014-11-02 23:27:16,1,39,0.004
"phone",65,2015-04-18 22:27:16,0,88,0.001
"4G",27,2012-01-05 23:27:16,9,58,0.129
"4G",3,2012-05-28 22:27:16,0,35,0.019
"fiber",22,2014-01-06 23:27:16,0,101,0.005
"landline",65,2012-03-05 23:27:16,0,51,0.005
"4G",16,2015-08-01 22:27:16,0,69,0.001
"4G",56,2011-07-28 22:27:16,1,99,0.017
"landline",47,2012-04-04 22:27:16,9,103,0.023
"fiber",31,2011-04-09 22:27:16,0,81,0.015
"4G",7,2011-06-25 22:27:16,7,96,0.071
"4G",50,2014-06-18 22:27:16,5,96,0.018
"fiber",31,2013-07-31 22:27:16,1,35,0.034
"4G",79,2013-10-08 22:27:16,6,46,0.063
"4G",52,2014-01-12 23:27:16,0,30,0.012
"fiber",2,2012-11-02 23:27:16,0,104,0.008
"4G",6,2011-01-15 23:27:16,0,95,0.01
"phone",39,2014-07-19 22:27:16,2,47,0.011
"landline",7,2013-07-05 22:27:16,0,16,0.01
"landline",26,2013-06-01 22:27:16,1,45,0.007
"phone",30,2015-01-21 23:27:16,2,67,0.005
"4G",27,2012-04-07 22:27:16,3,94,0.03
"4G",52,2012-06-23 22:27:16,3,88,0.03
"4G",11,2015-04-15 22:27:16,8,102,0.011
"phone",6,2012-02-01 23:27:16,0,84,0.006
"4G",42,2015-08-12 22:27:16,0,90,0.001
"phone",28,2014-08-08 22:27:16,0,51,0.003
"4G",5,2015-06-13 22:27:16,5,58,0.01
"fiber",42,2013-07-03 22:27:16,2,27,0.069
"fiber",29,2012-06-19 22:27:16,1,34,0.052
"phone",78,2015-02-15 23:27:16,0,64,0.002
"fiber",20,2014-05-13 22:27:16,0,58,0.007
"4G",24,2015-01-26 23:27:16,1,39,0.009
"landline",57,2015-08-25 22:27:16,0,104,0.0
"fiber",16,2010-08-27 22:27:16,0,33,0.041
"4G",1,2015-07-03 22:27:16,1,26,0.007
"landline",58,2013-02-27 23:27:16,0,103,0.002
"4G",75,2011-02-26 23:27:16,0,56,0.016
"phone",31,2013-09-19 22:27:16,7,16,0.141
"4G",19,2015-06-11 22:27:16,5,77,0.008
"4G",60,2012-09-06 22:27:16,1,71,0.017
"fiber",52,2011-07-22 22:27:16,5,90,0.074
"4G",79,2014-01-31 23:27:16,0,95,0.004
"4G",50,2014-06-12 22:27:16,10,14,0.224
"phone",70,2013-03-06 23:27:16,2,89,0.012
"fiber",38,2015-02-19 23:27:16,5,51,0.024
"4G",2,2015-07-03 22:27:16,0,64,0.001
"landline",48,2011-12-14 23:27:16,0,97,0.003
"phone",57,2010-09-22 22:27:16,0,39,0.017
"fiber",24,2014-04-15 22:27:16,4,44,0.048
"fiber",30,2013-08-16 22:27:16,0,87,0.007
"phone",15,2011-04-03 22:27:16,2,84,0.021
"fiber",29,2012-07-14 22:27:16,5,80,0.065
"phone",14,2011-11-22 23:27:16,5,45,0.068
"4G",72,2012-12-05 23:27:16,1,98,0.012
"phone",4,2010-07-11 22:27:16,3,60,0.046
"4G",37,2015-04-06 22:27:16,7,17,0.061
"4G",44,2013-11-23 23:27:16,0,97,0.004
"phone",42,2014-08-30 22:27:16,2,34,0.014
"phone",0,2012-11-06 23:27:16,0,36,0.011
"4G",65,2015-12-12 23:27:16,0,26,0.0
"landline",79,2013-11-06 23:27:16,0,16,0.008
"4G",12,2013-01-06 23:27:16,2,57,0.029
"4G",56,2012-02-12 23:27:16,0,97,0.007
"landline",42,2013-02-01 23:27:16,6,87,0.015
"fiber",59,2011-03-22 23:27:16,0,48,0.025
"phone",12,2015-07-22 22:27:16,1,37,0.003
"fiber",71,2011-01-22 23:27:16,1,13,0.19
"phone",33,2014-03-26 23:27:16,1,63,0.007
"landline",9,2012-03-17 23:27:16,0,97,0.002
"fiber",29,2010-12-16 23:27:16,9,98,0.129
"fiber",75,2013-02-24 23:27:16,0,22,0.032
"phone",53,2013-06-13 22:27:16,3,58,0.022
"4G",23,2014-12-03 23:27:16,2,86,0.007
"fiber",38,2014-02-28 23:27:16,1,18,0.05
"phone",14,2012-06-24 22:27:16,0,68,0.006
"4G",37,2011-09-12 22:27:16,0,99,0.008
"fiber",9,2011-05-31 22:27:16,4,81,0.071
"phone",22,2013-04-18 22:27:16,5,74,0.027
"landline",72,2012-12-15 23:27:16,1,25,0.015
"4G",10,2015-07-07 22:27:16,2,93,0.003
"phone",50,2015-10-07 22:27:16,2,104,0.001
"4G",11,2014-03-09 23:27:16,5,33,0.061
"4G",21,2014-05-24 22:27:16,0,61,0.005
"4G",22,2011-08-28 22:27:16,0,72,0.011
"4G",69,2012-10-17 22:27:16,9,99,0.06
"landline",23,2011-04-27 22:27:16,3,32,0.037
"landline",11,2015-07-08 22:27:16,9,77,0.004
"phone",61,2012-08-30 22:27:16,1,54,0.015
"phone",19,2012-04-29 22:27:16,1,68,0.013
"fiber",25,2011-04-18 22:27:16,0,75,0.016
"phone",27,2015-06-06 22:27:16,5,33,0.012
"4G",58,2011-02-27 23:27:16,3,71,0.051
"4G",20,2012-10-14 22:27:16,4,76,0.039
"4G",59,2010-09-27 22:27:16,3,104,0.038
"4G",2,2015-07-11 22:27:16,0,28,0.003
"4G",44,2011-12-18 23:27:16,0,72,0.01
"4G",5,2012-08-14 22:27:16,7,11,0.459
"landline",36,2014-07-31 22:27:16,1,82,0.002
"4G",41,2015-04-18 22:27:16,0,29,0.004
"landline",44,2015-01-28 23:27:16,1,98,0.001
"phone",35,2013-12-27 23:27:16,1,87,0.006
"phone",65,2013-01-18 23:27:16,2,42,0.026
"phone",54,2015-12-05 23:27:16,8,31,0.001
"4G",43,2013-03-31 22:27:16,0,96,0.005
"4G",12,2014-07-26 22:27:16,0,89,0.003
"phone",10,2015-03-02 23:27:16,1,69,0.003
"4G",2,2011-03-12 23:27:16,1,79,0.023
"phone",47,2015-03-28 23:27:16,7,64,0.011
"4G",15,2014-02-14 23:27:16,2,94,0.011
"phone",2,2012-10-30 23:27:16,2,56,0.021
"phone",4,2013-10-19 22:27:16,4,90,0.015
"phone",59,2012-02-17 23:27:16,0,104,0.005
"4G",13,2015-09-11 22:27:16,1,16,0.006
"4G",71,2013-07-30 22:27:16,2,19,0.071
"phone",4,2014-11-02 23:27:16,8,53,0.024
"landline",52,2013-05-28 22:27:16,0,19,0.008
"phone",66,2013-07-23 22:27:16,1,36,0.017
"4G",71,2015-03-13 23:27:16,1,41,0.007
"4G",28,2015-11-29 23:27:16,4,13,0.003
"landline",45,2011-02-24 23:27:16,0,75,0.004
"phone",5,2011-01-08 23:27:16,1,110,0.011
"fiber",48,2011-01-06 23:27:16,1,59,0.042
"4G",79,2014-08-24 22:27:16,0,57,0.004
"landline",6,2012-01-20 23:27:16,0,103,0.002
"phone",7,2010-10-27 22:27:16,1,108,0.012
"landline",75,2015-08-22 22:27:16,0,51,0.0
"phone",38,2010-08-13 22:27:16,1,60,0.022
"4G",61,2011-06-27 22:27:16,3,44,0.077
"phone",18,2015-04-24 22:27:16,1,19,0.009
"4G",49,2013-02-17 23:27:16,1,23,0.046
"4G",60,2014-08-30 22:27:16,0,48,0.005
"4G",78,2013-12-18 23:27:16,1,21,0.036
"fiber",36,2014-01-08 23:27:16,2,103,0.014
"phone",5,2015-06-18 22:27:16,0,74,0.001
"4G",48,2013-09-23 22:27:16,1,77,0.011
"phone",52,2015-02-10 23:27:16,2,13,0.024
"phone",6,2015-05-01 22:27:16,6,14,0.039
"landline",33,2014-09-12 22:27:16,1,90,0.002
"fiber",56,2010-11-15 23:27:16,8,97,0.119
"landline",32,2013-06-02 22:27:16,1,22,0.015
"4G",64,2011-03-01 23:27:16,3,96,0.038
"4G",66,2013-07-29 22:27:16,1,47,0.019
"landline",17,2011-04-19 22:27:16,0,98,0.003
"4G",3,2014-02-25 23:27:16,6,22,0.108
"4G",58,2014-09-03 22:27:16,0,48,0.005
"phone",62,2011-11-14 23:27:16,6,22,0.164
"phone",28,2013-06-12 22:27:16,4,102,0.016
"4G",76,2014-11-30 23:27:16,8,108,0.016
"phone",41,2014-05-03 22:27:16,1,18,0.023
"4G",29,2013-08-04 22:27:16,1,39,0.023
"4G",17,2010-10-17 22:27:16,0,79,0.012
"4G",26,2014-04-22 22:27:16,4,24,0.065
"landline",5,2012-12-05 23:27:16,7,103,0.015
"landline",3,2010-11-21 23:27:16,0,100,0.003
"4G",65,2015-10-04 22:27:16,0,83,0.0
"4G",37,2014-07-14 22:27:16,1,46,0.012
"4G",47,2013-02-25 23:27:16,8,105,0.045
"phone",35,2013-11-21 23:27:16,4,86,0.015
"fiber",60,2012-04-26 22:27:16,9,103,0.089
"phone",7,2014-03-10 23:27:16,1,99,0.004
"phone",44,2011-11-19 23:27:16,0,45,0.011
"fiber",16,2015-05-11 22:27:16,4,66,0.011
"phone",65,2014-07-27 22:27:16,0,110,0.002
"landline",64,2012-04-28 22:27:16,0,107,0.002
"4G",55,2011-04-07 22:27:16,0,45,0.02
"fiber",54,2011-12-11 23:27:16,0,77,0.013
"4G",29,2013-06-10 22:27:16,0,108,0.004
"4G",53,2015-07-16 22:27:16,2,33,0.007
"4G",9,2015-06-26 22:27:16,0,58,0.002
"phone",66,2013-05-25 22:27:16,8,26,0.112
"phone",78,2013-11-18 23:27:16,0,91,0.003
"phone",72,2012-01-06 23:27:16,2,36,0.041
"phone",25,2010-12-15 23:27:16,2,72,0.026
"phone",5,2013-05-09 22:27:16,7,68,0.039
"landline",47,2014-07-12 22:27:16,1,32,0.006
"4G",25,2011-01-04 23:27:16,9,80,0.117
"phone",4,2011-06-12 22:27:16,1,90,0.013
"4G",36,2012-03-11 23:27:16,5,20,0.214
"fiber",63,2012-06-18 22:27:16,6,37,0.167
"4G",37,2014-12-21 23:27:16,0,62,0.003
"phone",62,2010-10-27 22:27:16,9,15,0.432
"4G",46,2011-10-16 22:27:16,2,40,0.059
"landline",44,2013-03-16 23:27:16,0,44,0.004
"4G",6,2010-09-06 22:27:16,7,50,0.16
"phone",1,2013-04-13 22:27:16,1,102,0.007
"4G",15,2011-01-05 23:27:16,5,43,0.13
"fiber",62,2013-04-01 22:27:16,1,54,0.025
"fiber",14,2012-03-30 22:27:16,7,74,0.101
"landline",16,2015-07-27 22:27:16,0,107,0.0
"fiber",58,2015-06-15 22:27:16,8,83,0.014
"4G",39,2010-08-12 22:27:16,1,102,0.02
"4G",66,2014-10-13 22:27:16,1,56,0.008
"phone",65,2015-01-10 23:27:16,0,23,0.005
"4G",60,2010-11-25 23:27:16,1,36,0.053
"phone",44,2015-06-06 22:27:16,0,103,0.001
"4G",65,2015-04-10 22:27:16,0,105,0.001
"fiber",67,2013-12-10 23:27:16,1,33,0.031
"4G",65,2012-05-28 22:27:16,0,64,0.01
"landline",73,2011-11-01 23:27:16,0,15,0.017
"4G",69,2013-09-08 22:27:16,9,36,0.119
"4G",39,2013-11-22 23:27:16,2,60,0.019
"phone",9,2013-10-12 22:27:16,0,86,0.003
"fiber",22,2014-03-15 23:27:16,0,69,0.006
"4G",1,2012-02-24 23:27:16,9,83,0.087
"fiber",1,2012-10-26 22:27:16,0,58,0.014
"4G",1,2013-03-28 23:27:16,2,16,0.096
"fiber",69,2014-07-19 22:27:16,0,83,0.004
"fiber",56,2014-08-05 22:27:16,1,85,0.008
"phone",47,2014-08-31 22:27:16,0,61,0.003
"4G",3,2013-10-06 22:27:16,0,31,0.013
"fiber",7,2013-05-17 22:27:16,1,31,0.042
"fiber",71,2013-07-03 22:27:16,9,35,0.177
"fiber",61,2013-05-25 22:27:16,0,71,0.009
"phone",25,2012-11-09 23:27:16,5,108,0.022
"4G",22,2012-03-14 23:27:16,3,109,0.026
"phone",77,2015-03-18 23:27:16,6,97,0.007
"4G",10,2013-09-13 22:27:16,7,23,0.148
"landline",2,2012-08-13 22:27:16,1,17,0.025
"phone",19,2015-01-27 23:27:16,4,93,0.006
"4G",69,2013-05-27 22:27:16,0,21,0.023
"phone",15,2015-11-03 23:27:16,7,80,0.001
"fiber",16,2012-02-14 23:27:16,0,23,0.042
"fiber",56,2014-09-12 22:27:16,0,19,0.017
"4G",27,2012-01-22 23:27:16,4,85,0.043
"4G",58,2014-07-02 22:27:16,0,77,0.004
"4G",46,2013-11-30 23:27:16,9,31,0.124
"phone",33,2012-02-06 23:27:16,1,48,0.02
"4G",3,2015-06-16 22:27:16,0,42,0.002
"4G",26,2014-02-18 23:27:16,0,58,0.006
"4G",16,2014-03-28 23:27:16,0,37,0.009
"phone",51,2012-03-22 23:27:16,2,37,0.038
"landline",76,2015-06-29 22:27:16,0,48,0.001
"phone",9,2014-05-01 22:27:16,0,70,0.003
"4G",14,2012-06-16 22:27:16,1,29,0.046
"4G",51,2013-06-13 22:27:16,3,44,0.043
"4G",31,2013-12-10 23:27:16,1,69,0.011
"4G",23,2012-06-24 22:27:16,1,72,0.018
"4G",22,2013-07-03 22:27:16,1,56,0.017
"landline",33,2010-07-22 22:27:16,0,99,0.003
"4G",51,2014-07-19 22:27:16,0,44,0.006
"phone",23,2014-01-25 23:27:16,1,67,0.007
"phone",44,2013-04-29 22:27:16,2,17,0.058
"4G",58,2014-06-30 22:27:16,0,82,0.003
"fiber",59,2011-10-25 22:27:16,1,21,0.099
"phone",72,2014-01-19 23:27:16,0,21,0.011
"phone",70,2011-10-18 22:27:16,2,53,0.03
"4G",35,2015-01-19 23:27:16,1,72,0.005
"landline",0,2010-07-22 22:27:16,3,101,0.013
"phone",9,2013-03-25 23:27:16,0,37,0.009
"phone",55,2010-09-12 22:27:16,2,28,0.071
"landline",48,2010-08-04 22:27:16,1,93,0.007
"landline",52,2013-12-02 23:27:16,0,93,0.001
"4G",35,2011-10-17 22:27:16,4,30,0.131
"landline",59,2012-03-31 22:27:16,0,12,0.019
"fiber",6,2011-12-29 23:27:16,1,98,0.02
"landline",46,2014-09-15 22:27:16,3,13,0.024
"4G",45,2012-09-10 22:27:16,3,66,0.037
"phone",65,2013-03-17 23:27:16,0,105,0.003
"phone",60,2013-01-23 23:27:16,5,80,0.027
"4G",19,2012-03-28 22:27:16,1,15,0.094
"4G",66,2012-04-16 22:27:16,0,20,0.035
"4G",74,2010-07-08 22:27:16,1,61,0.034
"phone",55,2015-12-01 23:27:16,0,106,0.0
"phone",7,2011-06-13 22:27:16,3,20,0.114
"landline",14,2012-09-02 22:27:16,0,58,0.004
"4G",61,2014-05-11 22:27:16,0,80,0.004
"fiber",61,2014-11-13 23:27:16,0,11,0.025
"phone",63,2011-12-12 23:27:16,2,58,0.026
"phone",50,2013-08-11 22:27:16,1,45,0.013
"phone",2,2013-04-22 22:27:16,7,84,0.032
"4G",42,2013-04-03 22:27:16,1,60,0.017
"landline",41,2013-06-25 22:27:16,0,85,0.002
"phone",36,2015-08-17 22:27:16,0,48,0.001
"4G",49,2015-09-06 22:27:16,1,49,0.002
"4G",72,2010-08-05 22:27:16,9,87,0.117
"4G",39,2015-01-13 23:27:16,2,93,0.006
"4G",4,2012-11-30 23:27:16,0,89,0.006
"phone",64,2011-04-28 22:27:16,4,100,0.029
"fiber",5,2011-08-16 22:27:16,4,77,0.071
"phone",3,2015-10-11 22:27:16,2,28,0.002
"4G",66,2012-07-09 22:27:16,1,96,0.014
"4G",22,2011-06-22 22:27:16,1,57,0.03
"4G",16,2012-10-29 23:27:16,4,39,0.076
"fiber",65,2013-05-06 22:27:16,0,22,0.03
"phone",53,2012-11-15 23:27:16,3,59,0.026
"4G",61,2010-07-25 22:27:16,9,109,0.094
"4G",24,2015-04-28 22:27:16,6,38,0.022
"4G",74,2014-03-11 23:27:16,2,35,0.029
"4G",45,2012-10-18 22:27:16,6,90,0.046
"landline",54,2013-03-23 23:27:16,5,60,0.017
"fiber",8,2015-04-23 22:27:16,1,34,0.01
"4G",75,2011-10-15 22:27:16,1,46,0.034
"fiber",11,2011-05-13 22:27:16,9,30,0.386
"phone",65,2014-05-14 22:27:16,3,44,0.018
"phone",66,2014-01-24 23:27:16,0,68,0.004
"4G",37,2013-11-26 23:27:16,0,73,0.005
"landline",27,2012-05-27 22:27:16,6,45,0.035
"landline",69,2015-11-25 23:27:16,2,76,0.0
"landline",32,2015-08-29 22:27:16,1,68,0.001
"phone",76,2015-06-09 22:27:16,0,54,0.001
"landline",26,2012-09-08 22:27:16,3,18,0.046
"4G",63,2010-07-14 22:27:16,10,45,0.251
"phone",62,2013-04-13 22:27:16,0,48,0.007
"4G",54,2014-10-20 22:27:16,0,78,0.003
"landline",15,2015-03-10 23:27:16,4,19,0.013
"phone",21,2011-05-22 22:27:16,0,36,0.016
"4G",65,2014-03-06 23:27:16,0,43,0.008
"phone",69,2013-09-10 22:27:16,0,104,0.003
"4G",56,2015-08-27 22:27:16,0,50,0.001
"phone",50,2013-08-28 22:27:16,1,105,0.006
"phone",33,2014-05-29 22:27:16,0,56,0.003
"landline",61,2012-07-04 22:27:16,2,84,0.008
"4G",52,2013-03-12 23:27:16,1,52,0.02
"phone",59,2014-07-12 22:27:16,1,89,0.004
"4G",80,2015-09-02 22:27:16,1,11,0.01
"4G",17,2015-07-03 22:27:16,0,32,0.003
"4G",70,2014-12-05 23:27:16,0,73,0.003
"phone",66,2013-10-18 22:27:16,1,19,0.029
"fiber",56,2011-01-14 23:27:16,0,17,0.073
"4G",16,2012-06-20 22:27:16,0,40,0.016
"phone",42,2012-01-31 23:27:16,0,40,0.012
"phone",71,2011-03-18 23:27:16,6,32,0.131
"4G",43,2012-07-22 22:27:16,3,44,0.058
"phone",3,2013-01-19 23:27:16,1,71,0.01
"4G",48,2013-06-04 22:27:16,0,99,0.005
"4G",69,2014-04-18 22:27:16,0,71,0.004
"phone",27,2015-08-23 22:27:16,9,39,0.01
"phone",6,2014-11-04 23:27:16,1,37,0.008
"4G",6,2011-03-25 23:27:16,2,83,0.032
"phone",65,2015-03-10 23:27:16,1,52,0.004
"4G",37,2013-11-10 23:27:16,1,98,0.008
"landline",49,2013-02-09 23:27:16,3,71,0.01
"landline",33,2011-05-15 22:27:16,0,65,0.004
"fiber",65,2015-02-13 23:27:16,0,61,0.003
"4G",50,2011-06-16 22:27:16,0,58,0.015
"phone",62,2015-12-06 23:27:16,2,55,0.0
"4G",75,2013-03-08 23:27:16,7,32,0.131
"phone",54,2014-07-09 22:27:16,0,69,0.003
"4G",47,2013-08-10 22:27:16,0,95,0.005
"fiber",1,2011-10-07 22:27:16,10,39,0.298
"fiber",59,2015-08-06 22:27:16,3,101,0.004
"phone",47,2015-07-22 22:27:16,3,41,0.005
"phone",48,2014-08-05 22:27:16,1,107,0.003
"fiber",28,2013-05-13 22:27:16,1,35,0.037
"landline",28,2012-08-14 22:27:16,2,58,0.011
"4G",55,2012-06-18 22:27:16,0,38,0.017
"landline",65,2013-10-23 22:27:16,9,89,0.015
"phone",57,2010-08-26 22:27:16,0,56,0.012
"landline",16,2015-08-27 22:27:16,0,19,0.001
"landline",52,2011-02-23 23:27:16,8,38,0.072
"phone",49,2015-01-22 23:27:16,0,21,0.005
"4G",57,2015-12-06 23:27:16,0,93,0.0
"phone",71,2012-08-19 22:27:16,0,36,0.012
"fiber",32,2012-04-02 22:27:16,1,46,0.041
"4G",68,2010-12-25 23:27:16,5,31,0.182
"4G",75,2015-01-28 23:27:16,4,38,0.022
"phone",68,2014-05-07 22:27:16,0,60,0.003
"4G",71,2014-06-15 22:27:16,4,59,0.024
"4G",61,2013-05-24 22:27:16,0,60,0.008
"fiber",4,2015-04-26 22:27:16,10,20,0.088
"4G",75,2012-09-21 22:27:16,1,20,0.061
"phone",59,2012-09-29 22:27:16,2,30,0.04
"4G",78,2013-12-06 23:27:16,3,99,0.015
"4G",61,2011-04-27 22:27:16,1,29,0.06
"4G",45,2011-09-29 22:27:16,1,19,0.084
"fiber",48,2011-10-07 22:27:16,0,90,0.012
"phone",18,2011-05-29 22:27:16,7,90,0.051
"4G",46,2010-10-15 22:27:16,1,62,0.032
"4G",74,2010-07-21 22:27:16,2,50,0.061
"phone",38,2014-02-23 23:27:16,5,99,0.014
"4G",15,2015-10-19 22:27:16,1,11,0.005
"fiber",41,2015-08-07 22:27:16,0,92,0.001
"4G",35,2012-10-26 22:27:16,5,42,0.085
"phone",73,2015-01-25 23:27:16,0,14,0.008
"phone",42,2015-08-01 22:27:16,5,93,0.003
"fiber",11,2015-04-04 22:27:16,1,45,0.008
"4G",24,2010-12-24 23:27:16,0,70,0.013
"landline",17,2014-02-06 23:27:16,5,98,0.007
"landline",79,2010-12-31 23:27:16,0,55,0.006
"4G",6,2013-11-24 23:27:16,1,81,0.01
"phone",48,2012-05-13 22:27:16,0,97,0.005
"phone",45,2011-07-18 22:27:16,0,92,0.006
"fiber",18,2012-09-23 22:27:16,3,55,0.059
"phone",9,2013-05-17 22:27:16,0,30,0.011
"phone",59,2015-09-04 22:27:16,0,81,0.0
"phone",35,2014-06-21 22:27:16,4,68,0.014
"phone",16,2015-07-25 22:27:16,0,59,0.001
"fiber",61,2011-07-24 22:27:16,0,102,0.011
"4G",36,2012-04-05 22:27:16,3,58,0.048
"4G",1,2010-11-29 23:27:16,0,82,0.012
"fiber",14,2015-06-08 22:27:16,0,43,0.003
"4G",41,2013-04-30 22:27:16,1,92,0.011
"phone",49,2015-06-30 22:27:16,0,31,0.002
"4G",62,2014-03-22 23:27:16,0,56,0.006
"4G",22,2010-08-19 22:27:16,0,36,0.028
"landline",59,2013-09-26 22:27:16,0,87,0.002
"4G",43,2014-07-28 22:27:16,0,27,0.01
"4G",50,2013-05-24 22:27:16,8,61,0.071
"landline",59,2011-10-23 22:27:16,4,81,0.016
"fiber",38,2011-07-23 22:27:16,0,83,0.013
"4G",47,2014-03-24 23:27:16,7,77,0.034
"phone",77,2014-03-23 23:27:16,3,69,0.013
"landline",23,2013-02-15 23:27:16,0,37,0.005
"phone",6,2010-10-01 22:27:16,8,105,0.056
"phone",65,2014-08-23 22:27:16,1,43,0.008
"landline",15,2015-05-02 22:27:16,0,79,0.0
"fiber",28,2015-04-25 22:27:16,0,91,0.002
"4G",4,2014-03-05 23:27:16,2,72,0.014
"phone",77,2010-09-25 22:27:16,2,24,0.082
"phone",50,2014-03-25 23:27:16,3,52,0.017
"landline",9,2015-08-10 22:27:16,0,63,0.0
"landline",65,2012-06-10 22:27:16,0,27,0.008
"phone",25,2010-08-11 22:27:16,0,68,0.01
"phone",76,2011-06-19 22:27:16,3,75,0.03
"4G",44,2012-10-18 22:27:16,1,22,0.054
"4G",5,2015-10-19 22:27:16,7,58,0.004
"4G",12,2010-09-06 22:27:16,1,36,0.055
"fiber",42,2013-07-21 22:27:16,1,29,0.042
"phone",24,2014-08-29 22:27:16,0,72,0.002
"fiber",70,2014-08-06 22:27:16,4,14,0.122
"fiber",58,2011-10-28 22:27:16,0,54,0.019
"phone",13,2015-05-20 22:27:16,0,48,0.001
"4G",62,2012-09-17 22:27:16,0,51,0.012
"4G",76,2015-02-20 23:27:16,0,83,0.002
"4G",6,2012-11-14 23:27:16,1,66,0.018
"4G",15,2012-06-23 22:27:16,9,13,0.506
"phone",33,2013-10-24 22:27:16,0,25,0.011
"phone",10,2010-10-22 22:27:16,0,66,0.01
"landline",2,2013-09-16 22:27:16,7,49,0.023
"phone",59,2014-09-11 22:27:16,2,80,0.006
"landline",32,2012-09-22 22:27:16,1,103,0.004
"4G",37,2015-11-05 23:27:16,4,50,0.002
"fiber",61,2015-11-04 23:27:16,4,79,0.002
"phone",62,2012-02-10 23:27:16,7,31,0.125
"fiber",0,2012-04-30 22:27:16,8,104,0.079
"4G",39,2015-01-10 23:27:16,1,22,0.016
"4G",57,2013-06-17 22:27:16,1,38,0.025
"4G",35,2011-06-05 22:27:16,2,86,0.03
"4G",20,2013-09-01 22:27:16,3,13,0.133
"phone",34,2011-12-18 23:27:16,0,13,0.039
"4G",9,2012-06-11 22:27:16,2,16,0.125
"phone",73,2011-03-12 23:27:16,0,45,0.013
"landline",32,2012-11-22 23:27:16,4,22,0.044
"fiber",15,2012-06-01 22:27:16,0,91,0.01
"phone",8,2014-09-23 22:27:16,0,27,0.006
"landline",47,2015-11-01 23:27:16,1,66,0.0
"4G",67,2010-07-29 22:27:16,0,107,0.01
"fiber",60,2011-09-13 22:27:16,1,16,0.134
"phone",42,2011-11-15 23:27:16,0,54,0.01
"4G",35,2013-11-27 23:27:16,2,46,0.025
"landline",22,2015-07-28 22:27:16,0,56,0.0
"phone",53,2014-09-13 22:27:16,7,25,0.051
"4G",59,2014-05-10 22:27:16,4,11,0.137
"4G",12,2015-07-02 22:27:16,0,83,0.001
"phone",37,2015-02-19 23:27:16,1,58,0.004
"phone",66,2015-08-01 22:27:16,1,86,0.001
"phone",61,2015-08-20 22:27:16,0,77,0.001
"landline",11,2015-04-06 22:27:16,1,42,0.002
"4G",33,2013-06-29 22:27:16,0,32,0.015
"phone",2,2014-11-09 23:27:16,0,81,0.002
"landline",40,2012-04-19 22:27:16,3,27,0.034
"phone",47,2010-12-09 23:27:16,3,78,0.032
"4G",59,2013-04-08 22:27:16,1,49,0.021
"4G",56,2012-12-05 23:27:16,0,56,0.01
"4G",14,2014-09-04 22:27:16,0,33,0.007
"landline",60,2011-07-13 22:27:16,1,26,0.021
"landline",53,2013-10-23 22:27:16,0,62,0.002
"phone",34,2011-05-15 22:27:16,0,28,0.021
"landline",64,2014-06-15 22:27:16,0,109,0.001
"4G",56,2011-08-16 22:27:16,2,28,0.088
